exam_type,year,college_code,college_name,category,branch_code,branch_full_name,closing_rank
COMEDK,2025,E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",GM,CS,CS-Computer Science & Engineering,110697
COMEDK,2025,E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",KKR,CS,CS-Computer Science & Engineering,107333
COMEDK,2025,E051,"GM Institute of Technology-P B Road, Davangere",GM,CS,CS-Computer Science & Engineering,106190
COMEDK,2025,E053,Gopalan College of Engineering And Management,GM,CS,CS-Computer Science & Engineering,50971
COMEDK,2025,E055,GSSS Institute of Engineering and Technology for Women,GM,CS,CS-Computer Science & Engineering,54607
COMEDK,2025,E055,GSSS Institute of Engineering and Technology for Women,KKR,CS,CS-Computer Science & Engineering,92793
COMEDK,2025,E056,"H.K.E.Societys P.D.A. College of Engineering-Aiwan E Shahi area, Kalaburgi",GM,CS,CS-Computer Science & Engineering,106601
COMEDK,2025,E056,"H.K.E.Societys P.D.A. College of Engineering-Aiwan E Shahi area, Kalaburgi",KKR,CS,CS-Computer Science & Engineering,67538
COMEDK,2025,E058,Sri Jayachamarajendra College of Engineering constituent college of JSS Science and Technology University-,GM,CS,CS-Computer Science & Engineering,7039
COMEDK,2025,E058,Sri Jayachamarajendra College of Engineering constituent college of JSS Science and Technology University-,KKR,CS,CS-Computer Science & Engineering,13042
COMEDK,2025,E059,"Jawaharlal Nehru New College of Engineering JNNCE- Swalanga Road, Shivamogga",GM,CS,CS-Computer Science & Engineering,101133
COMEDK,2025,E059,"Jawaharlal Nehru New College of Engineering JNNCE- Swalanga Road, Shivamogga",GM,CV,CV-Civil Engineering,103564
COMEDK,2025,E059,"Jawaharlal Nehru New College of Engineering JNNCE- Swalanga Road, Shivamogga",KKR,CS,CS-Computer Science & Engineering,93683
COMEDK,2025,E060,"JSS Academy of Technical Education-Kengeri Main Road, Bengaluru",GM,CS,CS-Computer Science & Engineering,61454
COMEDK,2025,E060,"JSS Academy of Technical Education-Kengeri Main Road, Bengaluru",KKR,CS,CS-Computer Science & Engineering,88206
COMEDK,2025,E061,JSS Science and Technology University-Mysuru,GM,CS,CS-Computer Science & Engineering,15742
COMEDK,2025,E061,JSS Science and Technology University-Mysuru,GM,CV,CV-Civil Engineering,81346
COMEDK,2025,E061,JSS Science and Technology University-Mysuru,KKR,CS,CS-Computer Science & Engineering,22916
COMEDK,2025,E062,"Jain College of Engineering-T.S Nagar, Belagavi",GM,CS,CS-Computer Science & Engineering,99303
COMEDK,2025,E064,"Jain College of Engineering and Research-Udyambag, Belagavi",GM,CS,CS-Computer Science & Engineering,110996
COMEDK,2025,E065,"KLE Technological University, Belagavi Campus. Formerly known as KLE Dr. M.S. Sheshgiri College of Engineering and",GM,CS,CS-Computer Science & Engineering,98364
COMEDK,2025,E066,"KLE College of Engineering and Technology-Chikodi Dist., Belagavi",GM,CS,CS-Computer Science & Engineering,108707
COMEDK,2025,E067,"K.S School of Engineering And Management-Off Kanakapura Road, Bengaluru",GM,CS,CS-Computer Science & Engineering,106267
COMEDK,2025,E068,K.S. INSTITUTE OF TECHNOLOGY,GM,CM,CM-Computer & Communi-cation Engineering,102147
COMEDK,2025,E068,K.S. INSTITUTE OF TECHNOLOGY,GM,CS,CS-Computer Science & Engineering,87857
COMEDK,2025,E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",GM,CS,CS-Computer Science & Engineering,65197
COMEDK,2025,E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",GM,CV,CV-Civil Engineering,68426
COMEDK,2025,E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",KKR,CS,CS-Computer Science & Engineering,85330
COMEDK,2025,E074,"KLS Vishwanathrao Deshpande Institute of Technology- Dandeli Road, Haliyal",GM,CS,CS-Computer Science & Engineering,110111
